Jogador,Desarme,Passe,Velocidade,Resistencia
Aníbal Moreno (Volante Raiz),90,82,75,95
Zé Rafael (Motor do Time),85,85,78,90
Richard Ríos (Dinâmico),78,88,85,88
Matheus Bilong (Camisa 10),88,75,80,92
Larson (Camisa 8),86,78,89,94
Luis Pacheco (Camisa 5),82,96,74,91
Rodri (Manchester City),94,85,88,98
Kante (Estilo Corredor),80,90,92,85
De Bruyne (Jogador de Alta Classe),92,92,90,90
Jorginho (Passador),95,80,70,87
Andreas Pereira (Terceiro MC),70,88,75,80
Marlon Freitas (Lançador),75,84,80,75
Lucas Evangelitas (Volante esforçado),68,70,85,78
Emiliano Martinez (Volante comum),60,75,78,82
Facundo Torres (Camisa 10),65,78,82,88
