Música,Banda,BPM,Energia,Agressividade
Master of Puppets,Metallica,212,95,90
One,Metallica,104,70,80
Enter Sandman,Metallica,123,85,75
War Pigs,Black Sabbath,90,60,55
Iron Man,Black Sabbath,100,65,60
Paranoid,Black Sabbath,163,80,65
Blood Fire Death,Bathory,140,90,98
A Fine Day to Die,Bathory,130,85,95
Enter the Eternal Fire,Bathory,125,88,100
Hell Awaits,Slayer,220,92,85
Show no Mercy,Slayer,210,90,90
Postmortem,Slayer,200,95,88
The Trooper,Iron Maiden,160,85,80
Hallowed Be Thy Name,Iron Maiden,150,80,75
Fear of the Dark,Iron Maiden,155,75,70
Breaking the Law,Judas Priest,180,88,85
Painkiller,Judas Priest,190,90,90
Electric Eye,Judas Priest,175,85,80
