Timestamp,CPU_Uso,RAM_Uso,GPU_Uso,Disco_Uso,Temperatura_CPU,Temperatura_GPU
12:00,15,40,30,50,60,55
12:01,18,42,32,52,62,57
12:02,12,41,31,51,61,56
12:03,20,39,29,49,59,54
12:04,16,40,30,50,60,55
12:05,95,92,88,80,85,82
12:06,19,42,32,52,62,57
12:07,17,41,31,51,61,56
12:08,14,40,30,50,60,55
12:09,18,39,29,49,59,54
12:010,98,95,90,82,88,85
12:011,15,41,31,51,61,56
12:012,16,40,30,50,60,55
12:013,17,42,32,52,62,57
12:014,85,90,85,78,83,80
12:015,15,40,30,50,60,55
12:016,18,42,32,52,62,57
12:017,12,41,31,51,61,56
12:018,20,39,29,49,59,54
12:019,16,40,30,50,60,55
12:020,95,92,88,80,85,82
12:021,19,42,32,52,62,57
12:022,17,41,31,51,61,56
12:023,14,40,30,50,60,55
12:024,18,39,29,49,59,54
12:025,98,95,90,82,88,85
12:026,15,41,31,51,61,56
12:027,16,40,30,50,60,55
12:028,17,42,32,52,62,57
12:029,85,90,85,78,83,80
